"Date.Occurred","FIPS","REPDIST","DR.Number","Date.Reported","Time.Occurred","Area.ID","Area.Name","Crime.Code","Crime.Code.Description","MO.Codes","Victim.Age","Victim.Sex","Victim.Descent","Premise.Code","Premise.Description","Weapon.Used.Code","Weapon.Description","Status.Code","Status.Description","Crime.Code.1","Crime.Code.2","Crime.Code.3","Crime.Code.4","Address","Cross.Street","Location","RPT_DELAY","Count","RPT_DELAY_1DAY","RPT_DELAY_1WEEK","RPT_DELAY_1MONTH","RPT_DELAY_MONTHS","RPT_DAY","CMPLNT_DAY","RPT_MONTH","CMPLNT_MONTH","winter","spring","summer","fall","weekend","BASICCAR","lat","lon","OBJECTID","COUNTY","STATE","POPULATION","SQMI","ID","sourceCoun","ENRICH_FID","aggregatio","HasData","CIVLBFR_CY","EMP_CY","INDAGRI_CY","INDMIN_CY","INDCONS_CY","INDMANU_CY","INDWHTR_CY","INDRTTR_CY","INDTRAN_CY","INDUTIL_CY","INDINFO_CY","INDFIN_CY","INDRE_CY","INDTECH_CY","INDMGMT_CY","INDADMN_CY","INDEDUC_CY","INDHLTH_CY","INDARTS_CY","INDFOOD_CY","INDOTSV_CY","INDPUBL_CY","UNEMP_CY","UNEMPRT_CY","pop.total","pop.male","pop.u20","pop.20.64","pop.o64","pop.married","pop.white","pop.black","pop.native","pop.asian","pop.pacific","pop.latino","occupants.1.5","rent.35.income","occ.units","pop.single.hh","hh.size","no.school","poverty","med.income","pop.no.insur","pop.unempl","lan.english","lan.spanish","lan.yiddish","lan.russian","lan.polish","lan.armenian","lan.hindi","lan.chinese","lan.vietnamese","lan.arabic","lan.hebrew","lan.african","vict.white","vict.black","vict.latin","vict.asian","vict.u18","vict.18.24","vict.25.44","vict.45.64","vict.o64","vict.female","federal","christian","muslim","jewish","hindu","celebration"
2010-01-01,"06037241120",1842,161822471,2016-12-06,800,18,"Southeast",121,"RAPE, FORCIBLE","0537 1258 0527 1817 0913",6,"F","H",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","JO","Juv Other",121,812,NA,NA,"109TH                        ST","MAIN                         ST","(33.9374, -118.2739)",2531,1,0,0,0,1,"Tuesday","Friday","December","January",1,0,0,0,0,"18A41",33.9374,-118.2739,"320","Los Angeles","CA","4657",0.25,"1319","US","320","BlockApportionment:US.BlockGroups","1","1641","1425","18","0","90","187","51","182","54","0","31","12","18","18","8","118","70","143","11","229","161","24","216",13.2,5082,44.8,33.6,57.1,9.3,20.4840613931523,25.2,32.3,1.8,0.3,0,65.9,15.7,79.2,1252,20,4.145,43.4,38.6,27353,23.8,8.5,36.1865407319953,56.8280204643841,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
2010-01-01,"06037208000",238,150204194,2014-12-16,1,2,"Rampart",121,"RAPE, FORCIBLE","1258 0536 0537 0527",10,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",121,812,NA,NA,"100 N  TOLUCA                       ST","","(34.0616, -118.2586)",1810,1,0,0,0,1,"Tuesday","Friday","December","January",1,0,0,0,0,"2A39",34.0616,-118.2586,"1009","Los Angeles","CA","7416",0.38,"8","US","1009","BlockApportionment:US.BlockGroups","1","3738","3473","0","0","86","414","102","384","16","0","100","147","217","223","0","166","292","575","136","418","117","80","265",7.1,7248,47.2,25.5,67.7,6.8,18.9569536423841,34.7,7.5,3.2,22.5,0,61,8.6,54.1,2406,28.8,3.16,30.9,33.8,38152,17.7,6.3,15.5629139072848,60.8305739514349,0,0,0,0,0.193156732891832,0.965783664459161,0.22075055187638,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
2010-01-01,"06037650901",504,120500728,2012-03-27,800,5,"Harbor",121,"RAPE, FORCIBLE","1259 0532 0527 1823 0913",15,"F","H",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",121,NA,NA,NA,"204TH                        ST","WESTERN","(33.8457, -118.3093)",816,1,0,0,0,1,"Tuesday","Friday","March","January",1,0,0,0,0,"5A1",33.8457,-118.3093,"243","Los Angeles","CA","6107",1.37,"1242","US","243","BlockApportionment:US.BlockGroups","1","3447","3266","34","0","130","443","81","206","134","49","105","123","65","312","0","95","305","325","176","357","248","76","180",5.2,6147,51.6,21.3,67.4,11.3,31.2510167561412,67.4,0.9,1.2,20.2,0,35.7,5.8,27.7,2499,31.9,2.45,11,4.4,64033,15.8,5.1,60.924027981129,18.6920448999512,0,0,0,0.569383439075972,0,2.01724418415487,0,0,0.244021473889702,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
2010-01-01,"06037273902",1431,121424734,2012-04-06,1200,14,"Pacific",121,"RAPE, FORCIBLE","0500",13,"F","B",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",121,NA,NA,NA,"WASHINGTON                   BL","PACIFIC                      AV","(33.9798, -118.4656)",826,1,0,0,0,1,"Friday","Friday","April","January",1,0,0,0,0,"14A11",33.9798,-118.4656,"539","Los Angeles","CA","4234",0.37,"1538","US","539","BlockApportionment:US.BlockGroups","1","3123","2968","0","0","93","137","113","133","13","0","597","93","229","565","51","83","249","315","81","50","164","2","155",5,3839,56,7.4,73.8,18.8,31.4665277415994,90.4,2,0,2.7,0,15.1,0,37.5,2227,53.6,1.72,4.7,7.1,98264,8.7,7.7,72.6491273769211,8.41364938786142,0,0,0,0,0,0,1.0158895545715,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
2010-01-01,"06037980021",1654,131614248,2013-09-11,1,16,"Foothill",121,"RAPE, FORCIBLE","1258 0519 0527 0507 0913",7,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest",121,NA,NA,NA,"12200    OSBORNE                      PL","","(34.2619, -118.3989)",1349,1,0,0,0,1,"Wednesday","Friday","September","January",1,0,0,0,0,"16A23",34.2619,-118.3989,"1498","Los Angeles","CA","33",2.68,"497","US","1498","BlockApportionment:US.BlockGroups","1","25","24","0","0","1","3","1","3","1","0","1","1","1","2","0","1","2","2","1","2","1","1","1",4,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
2010-01-01,"06037201301",407,150417728,2015-12-05,2100,4,"Hollenbeck",121,"RAPE, FORCIBLE","0500",10,"F","H",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",121,NA,NA,NA,"3700    MCKENZIE                     AV","","(34.0893, -118.1899)",2164,1,0,0,0,1,"Saturday","Friday","December","January",1,0,0,0,0,"4A3",34.0893,-118.1899,"2752","Los Angeles","CA","3579",0.34,"3495","US","2752","BlockApportionment:US.BlockGroups","1","1638","1466","0","0","47","224","11","175","110","44","28","69","0","44","0","33","87","184","57","141","57","155","172",10.5,3668,52.9,28.3,59.9,11.8,27.9716466739368,35.1,1.8,1.9,12,0,82.3,5,40.9,1103,22.4,3.305,37.5,21,42878,25.5,7.4,22.8462377317339,56.6521264994547,0,0,0,0,0,3.76226826608506,0.654307524536532,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
2010-01-01,"06037293202",507,160507981,2016-03-30,1200,5,"Harbor",121,"RAPE, FORCIBLE","0503 0515 0522 0527 0532 0537 0552 0913 1251 1258",10,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",121,812,NA,NA,"1300 W  227TH                        ST","","(33.8202, -118.2995)",2280,1,0,0,0,1,"Wednesday","Friday","March","January",1,0,0,0,0,"5A1",33.8202,-118.2995,"224","Los Angeles","CA","6727",0.41,"1223","US","224","BlockApportionment:US.BlockGroups","1","3347","3033","31","0","233","414","74","313","179","0","84","85","28","90","0","403","89","357","45","422","170","16","314",9.4,6527,48.8,35.4,60.1,4.5,31.7757009345794,24.4,8.8,0,17.6,1.3,65,7.7,60.1,1785,16.7,3.68,33.7,33.1,36422,26.3,7.2,23.4257698789643,49.9463765895511,0,0,0,0,0,0.490271181247127,1.70062815995097,0.658801899800827,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
2010-01-01,"06037190100",645,170624558,2017-11-22,1,6,"Hollywood",121,"RAPE, FORCIBLE","0500 0510 0537 0527",109,"","",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",121,NA,NA,NA,"1700 N  HIGHLAND                     AV","","(34.1006, -118.3417)",2882,1,0,0,0,1,"Wednesday","Friday","November","January",1,0,0,0,0,"6A45",34.1006,-118.3417,"1061","Los Angeles","CA","4650",0.23,"60","US","1061","BlockApportionment:US.BlockGroups","1","3424","3177","49","0","14","22","44","195","50","0","382","210","50","235","0","67","297","138","432","585","369","38","247",7.2,5033,56.4,7.9,86.5,5.59999999999999,16.391814027419,70.6,10.8,1,4.6,0,15.3,3,48.6,2792,55.5,2.15,3.2,22.1,48750,19.3,13.5,69.1833896284522,11.2259090005961,0,0,0.536459368170077,0,0,0,0,0,0.357639578780052,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2010-01-01,"06037231220",379,150319644,2015-09-01,1,3,"Southwest",121,"RAPE, FORCIBLE","",9,"F","H",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest",121,812,NA,NA,"1100 W  39TH                         ST","","(34.0155, -118.2947)",2069,1,0,0,0,1,"Tuesday","Friday","September","January",1,0,0,0,0,"3A57",34.0155,-118.2947,"751","Los Angeles","CA","3825",0.37,"1750","US","751","BlockApportionment:US.BlockGroups","1","1538","1454","16","0","86","220","51","176","44","0","7","0","41","23","0","79","72","207","9","133","251","39","84",5.5,4372,46.3,32.4,59.9,7.70000000000002,21.9579139981702,25,16.1,0,3.4,0,74,11.9,56.6,1203,27.5,4.57,57,37,24219,29.2,5.2,22.0722781335773,69.0759377859103,0,0,0,0,0,0,0,0,0,1.14364135407136,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
2010-01-01,"06037540400",1849,141808510,2014-04-02,2200,18,"Southeast",121,"RAPE, FORCIBLE","1258 1251 0527 1801 0522 0515",10,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",121,NA,NA,NA,"11500 S  MONA                         BL","","(33.9304, -118.2306)",1552,1,0,0,0,1,"Wednesday","Friday","April","January",1,0,0,0,0,"18A49",33.9304,-118.2306,"466","Los Angeles","CA","2560",0.13,"1465","US","466","BlockApportionment:US.BlockGroups","1","981","882","41","0","89","115","26","58","94","0","15","16","54","54","0","113","30","35","0","15","76","51","99",10.1,2594,55.7,37.6,59.2,3.2,25.2891287586738,53.2,19,0,0,0,81.9,16,59.1,482,9.5,5.335,52.5,32.6,41447,23.4,9.2,17.3477255204318,72.976098689283,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
